"Parcel.number","Taxpayer.name","Parcel.address","Jurisdiction","Zip.code","Appraised.value","Assessor.s.report","SaleReason","SaleInstrument","PropertyClass","PrincipalUse","PropertyType","ExciseTaxNbr","Major","Minor","DocumentDate","SalePrice","RecordingNbr","Volume","Page","PlatNbr","PlatType","PlatLot","PlatBlock","SellerName","BuyerName","AFForestLand","AFCurrentUseLand","AFNonProfitUse","AFHistoricProperty","SaleWarning","PropertyTypeDecode","PrincipalUseDecode","PropertyClassDecode","SaleInstrumentDecode","SaleReasonDecode"
"5247801380","GRE 4TH AVE S LLC","400 S JACKSON ST","SEATTLE","98104",55616000,"Report",1,4,1,7,1,2688297,"524780","1380",2014-08-15,98280,20140902001130,NA,NA,NA," ","              ","       ","GRE DOWNTOWNER LLC                                ","GRE 4TH AVENUE SOUTH LLC                          ","N","N","N","N","29 45 51 52","Land Only","Commercial","C/I land only","Special Warranty Deed","None"
"5247801380","GRE 4TH AVE S LLC","400 S JACKSON ST","SEATTLE","98104",55616000,"Report",1,4,2,7,1,2547122,"524780","1380",2012-06-06,1809846,20120606001009,NA,NA,NA," ","              ","       ","308 4TH AVENUE SOUTH JOINT VENTURE                ","GRE 4TH AVENUE SOUTH LLC                          ","N","N","N","N","15 24","Land Only","Commercial","C/I Improved property, no condo or mobile home","Special Warranty Deed","None"
"5247801380","GRE 4TH AVE S LLC","400 S JACKSON ST","SEATTLE","98104",55616000,"Report",1,4,1,7,1,2688302,"524780","1380",2014-08-15,98280,20140902001131,NA,NA,NA," ","              ","       ","GRE 4TH AVENUE SOUTH LLC                          ","GRE DOWNTOWNER LLC                                ","N","N","N","N","15 22 29 45","Land Only","Commercial","C/I land only","Special Warranty Deed","None"
"5247801410","DIAMOND PARKING INC","200 4TH AVE S","SEATTLE","98104",4003200,"Report",18,15,2,7,0,3232215,"524780","1410",2023-02-23,0,20230405000305,NA,NA,NA," ","              ","       ","WASHINGTON STATE CONVENTION CENTER PUBLIC FACILITI","KING COUNTY A HOME RULE CHARTER COUNTY AND POLITIC","N","N","N","N"," ",NA,"Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801430","HIRABAYASHI PLACE","#Error","SEATTLE",NA,1599700,"Report",16,3,2,7,3,2587644,"524780","1430",2013-01-25,0,20130201001606,NA,NA,NA," ","              ","       ","TOBIN TRUST                                       ","FOURTH & MAIN LLC                                 ","N","N","N","N","20 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Correction (Refiling)"
"5247801430","HIRABAYASHI PLACE","#Error","SEATTLE",NA,1599700,"Report",18,15,2,7,0,3232215,"524780","1430",2023-02-23,0,20230405000305,NA,NA,NA," ","              ","       ","WASHINGTON STATE CONVENTION CENTER PUBLIC FACILITI","KING COUNTY A HOME RULE CHARTER COUNTY AND POLITIC","N","N","N","N"," ",NA,"Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801430","HIRABAYASHI PLACE","#Error","SEATTLE",NA,1599700,"Report",5,3,2,7,1,2587306,"524780","1430",2013-01-25,625000,20130131002006,NA,NA,NA," ","              ","       ","TOBIN LARRY L+TOBIN JUDITH A+TOBIN TRUST          ","INTERIM COMMUNITY DEVELOPMENT ASSOCIATION         ","N","N","N","N"," ","Land Only","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Trust"
"5247801431","HIRABAYASHI PLACE","#Error","SEATTLE",NA,1604200,"Report",4,18,2,7,3,2503298,"524780","1431",2011-07-22,0,20110729001861,NA,NA,NA," ","              ","       ","TD SERVICE COMPANY OF WASHINGTON                  ","FOURTH & MAIN L L C                               ","N","N","N","N","23 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Trustees' Deed","Foreclosure"
"5247801431","HIRABAYASHI PLACE","#Error","SEATTLE",NA,1604200,"Report",4,18,2,7,3,2409748,"524780","1431",2009-09-11,0,20090925001334,NA,NA,NA," ","              ","       ","MARK HODGES & ASSOCIATES PS                       ","MASCARINAS MARK+MARILYN LIVING TRUST              ","N","N","N","N","31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Trustees' Deed","Foreclosure"
"5247801431","HIRABAYASHI PLACE","#Error","SEATTLE",NA,1604200,"Report",18,3,2,7,3,2331304,"524780","1431",2008-01-30,1900000,20080204001338,NA,NA,NA," ","              ","       ","MASCARINAS MARK+MARILYN LIVING TRUST              ","SLIVER LLC                                        ","N","N","N","N"," ","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"5247801440","HIRABAYASHI PLACE LLC","442 S MAIN ST","SEATTLE","98104",34882000,"Report",1,26,2,7,10,2986200,"524780","1440",2019-04-24,248000,20190506000656,NA,NA,NA," ","              ","       ","HIRABAYASHI PLACE LLC                             ","DA LI INTERNATIONAL LLC                           ","N","N","N","N","17","Land With New Building","Commercial","C/I Improved property, no condo or mobile home","Other - See Affidavit","None"
"5247801440","HIRABAYASHI PLACE LLC","442 S MAIN ST","SEATTLE","98104",34882000,"Report",18,15,2,7,0,3232215,"524780","1440",2023-02-23,0,20230405000305,NA,NA,NA," ","              ","       ","WASHINGTON STATE CONVENTION CENTER PUBLIC FACILITI","KING COUNTY A HOME RULE CHARTER COUNTY AND POLITIC","N","N","N","N"," ",NA,"Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801440","HIRABAYASHI PLACE LLC","442 S MAIN ST","SEATTLE","98104",34882000,"Report",1,3,1,7,1,2375552,"524780","1440",2008-12-30,835000,20081230001111,NA,NA,NA," ","              ","       ","WONG DAVID+KAREN G C                              ","INTERIM COMMUNITY DEVELOPMENT ASSOCIATION         ","N","N","N","N"," ","Land Only","Commercial","C/I land only","Statutory Warranty Deed","None"
"5247801440","HIRABAYASHI PLACE LLC","442 S MAIN ST","SEATTLE","98104",34882000,"Report",2,22,1,7,1,2666356,"524780","1440",2014-05-01,0,20140506000927,NA,NA,NA," ","              ","       ","INTERIM COMMUNITY DEVELOPMENT ASSOCIATION         ","HIRABAYASHI PLACE LLC                             ","N","N","N","N","11","Land Only","Commercial","C/I land only","Bargain And Sales Deed","Assumption"
"5247801440","HIRABAYASHI PLACE LLC","442 S MAIN ST","SEATTLE","98104",34882000,"Report",18,27,1,7,1,2652846,"524780","1440",2014-01-29,0,20140210000026,NA,NA,NA," ","              ","       ","INTERIM COMMUNITY DEVELOPMENT ASSOCIATION         ","SEATTLE CITY OF                                   ","N","N","N","N","16 31","Land Only","Commercial","C/I land only","Deed","Other"
"5247801465","SEATTLE CITY OF FAS","401 YESLER WAY","SEATTLE","98104",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801515","SWEAZEY INVESTMENTS L L C","6TH AVE S","SEATTLE","98104",3204000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801526","HANA PLACE SEATTLE LLC","101 6TH A","SEATTLE","VE S",60520000,"Report",18,15,1,7,1,2813301,"524780","1526",2016-07-29,0,20160801001561,NA,NA,NA," ","              ","       ","SEATTLE CITY OF                                   ","6TH & YESLER LLC                                  ","N","N","N","N","18 31","Land Only","Commercial","C/I land only","Quit Claim Deed","Other"
"5247801526","HANA PLACE SEATTLE LLC","101 6TH A","SEATTLE","VE S",60520000,"Report",1,22,2,7,3,2979484,"524780","1526",2019-03-27,47021550,20190328000363,NA,NA,NA," ","              ","       ","6TH AND YESLER LLC                                ","HANA PLACE SEATTLE LLC                            ","N","N","N","N","54","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Bargain And Sales Deed","None"
"5247801545","214 BUILDING LLC","220 5TH AVE S","SEATTLE","98104",3204000,"Report",1,4,2,7,3,2378364,"524780","1545",2009-01-29,1000000,20090129000843,NA,NA,NA," ","              ","       ","LENNOCO ARIZONA LLC                               ","214 BUILDING LLC                                  ","N","N","N","N","11 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Special Warranty Deed","None"
"5247801545","214 BUILDING LLC","220 5TH AVE S","SEATTLE","98104",3204000,"Report",18,15,2,7,3,2353758,"524780","1545",2008-06-06,0,20080703001458,NA,NA,NA," ","              ","       ","214 BUILDING L L C                                ","LENNOCO ARIZONA L L C                             ","N","N","N","N","11 18 31 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801550","IMPERIAL HOUSE APARTMENTS","520 S MAIN ST","SEATTLE","98104",18770200,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801555","IMPERIAL HOUSE APARTMENTS","6TH AVE S","SEATTLE","98104",3204000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801560","IMPERIAL HOUSE APARTMENTS","6TH AVE S","SEATTLE","98104",3204000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801565","DIAMOND FAMILY INVT 75-7502","6TH AVE S","SEATTLE","98104",1217500,"Report",5,3,1,7,1,2367185,"524780","1565",2008-10-10,410000,20081014000194,NA,NA,NA," ","              ","       ","CRONIN TINA REVOCABLE TRUST+KINOMOTO LISA         ","DIAMOND FAMILY INVESTMENTS LLC                    ","N","N","N","N"," ","Land Only","Commercial","C/I land only","Statutory Warranty Deed","Trust"
"5247801565","DIAMOND FAMILY INVT 75-7502","6TH AVE S","SEATTLE","98104",1217500,"Report",8,4,1,7,6,2366739,"524780","1565",2008-09-29,0,20081008001173,NA,NA,NA," ","              ","       ","CRONIN TINA                                       ","CRONIN TINA                                       ","N","N","N","N","12 20 22 31 51","Building Only","Commercial","C/I land only","Special Warranty Deed","Estate Settlement"
"5247801565","DIAMOND FAMILY INVT 75-7502","6TH AVE S","SEATTLE","98104",1217500,"Report",8,4,1,7,1,2366740,"524780","1565",2008-09-29,0,20081008001175,NA,NA,NA," ","              ","       ","CRONIN TINA                                       ","KINOMOTO LISA                                     ","N","N","N","N","12 20 22 31 51","Land Only","Commercial","C/I land only","Special Warranty Deed","Estate Settlement"
"5247801565","DIAMOND FAMILY INVT 75-7502","6TH AVE S","SEATTLE","98104",1217500,"Report",5,15,1,7,1,2366347,"524780","1565",2008-09-29,0,20081008001174,NA,NA,NA," ","              ","       ","CRONIN TINA                                       ","CRONIN TINA                                       ","N","N","N","N","18 22 31 51","Land Only","Commercial","C/I land only","Quit Claim Deed","Trust"
"5247801570","PHILLIPS KENNETH M SR","S WASHINGTON ST","SEATTLE","98104",1826200,"Report",1,3,1,7,1,2582113,"524780","1570",2012-12-23,562500,20121228001550,NA,NA,NA," ","              ","       ","HASHIMOTO ROY MINORU+KAY                          ","PHILLIPS KENNETH M SR                             ","N","N","N","N"," ","Land Only","Commercial","C/I land only","Statutory Warranty Deed","None"
"5247801575","FUJIMATSU LLC","500 S MAIN ST","SEATTLE","98104",6408000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801590","FUJIMATSU LLC","#Error","SEATTLE",NA,5607000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801595","GOVERNOR BUILDING LLC","514 S JACKSON ST","SEATTLE","98104",3592000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801606","MAXWELL HILL INVESTMENTS LL","307 6TH AVE S","SEATTLE","98104",1129600,"Report",1,2,2,7,65,3061204,"524780","1606",2020-07-31,989600,NA,NA,NA,NA," ","              ","       ","WONG TERRY M+KAREN O                              ","MAXWELL HILL INVESTMENTS LLC                      ","N","N","N","N","15 51","Professional Services (Medical, Dental, Etc.)","Commercial","C/I Improved property, no condo or mobile home","Warranty Deed","None"
"5247801610","HTK MANAGEMENT LLC","513 S MAIN ST","SEATTLE","98104",3997000,"Report",18,22,2,7,3,2757096,"524780","1610",2015-09-16,0,20150922000519,NA,NA,NA," ","              ","       ","HTK MANAGEMENT LLC                                ","HTK MANAGEMENT LLC                                ","N","N","N","N","11 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Bargain And Sales Deed","Other"
"5247801615","CATHAY INVESTMENT LLC","501 S JACKSON ST","SEATTLE","98104",3413000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801620","C&H FAMILY LTD PARTNERSHIP","404 5TH AVE S","SEATTLE","98104",4105000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801630","JAC INVESTMENT GROUP LLC","418 5TH AVE S","SEATTLE","98104",2053000,"Report",18,15,2,11,3,2346463,"524780","1630",2008-05-19,0,20080519000563,NA,NA,NA," ","              ","       ","CHU SOONG H L                                     ","JAC INVESTMENT GROUP LLC                          ","N","N","N","N","11 18 31","Land With Prev Used Bldg","Commercial/Industrial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801635","AMERICAN HOTEL BLDG LLC","520 S KING ST","SEATTLE","98104",7662100,"Report",1,3,2,11,3,2372782,"524780","1635",2008-11-21,4600000,20081201001448,NA,NA,NA," ","              ","       ","SEATTLES UNION GOSPEL MISSION+UNION GOSPEL MISSION","AMERICAN HOTEL BUILDING LLC                       ","N","N","N","N"," ","Land With Prev Used Bldg","Commercial/Industrial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"5247801640","C AND H FAMILY LIMITED PART","525 S JACKSON ST","SEATTLE","98104",5644000,"Report",18,3,2,7,3,2410714,"524780","1640",2009-09-30,0,20090930002042,NA,NA,NA," ","              ","       ","IMPERIAL RICHFIELD COMPANY INC                    ","C AND H FAMILY LIMITED PARTNERSHIP 1              ","N","N","N","N","11 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"5247801655","PUBLIX LLC","504 5TH AVE S","SEATTLE","98104",14805000,"Report",18,22,2,7,3,2701570,"524780","1655",2014-11-17,0,20141119000606,NA,NA,NA," ","              ","       ","MIKAN TOO LLC                                     ","PUBLIX LLC                                        ","N","N","N","N","11 31 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Bargain And Sales Deed","Other"
"5247801655","PUBLIX LLC","504 5TH AVE S","SEATTLE","98104",14805000,"Report",18,22,2,7,3,2701571,"524780","1655",2014-11-17,0,20141119000609,NA,NA,NA," ","              ","       ","PUBLIX LLC                                        ","PUBLIX OWNER LLC                                  ","N","N","N","N","11 31 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Bargain And Sales Deed","Other"
"5247801657","MIKAN TOO LLC","6TH AVE S","SEATTLE","98104",7769100,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801660","MIKAN TOO LLC","519 6TH AVE S","SEATTLE","98104",6569900,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801665","PUBLIX LLC","510 5TH AVE S","SEATTLE","98104",26878000,"Report",18,22,2,7,3,2701571,"524780","1665",2014-11-17,0,20141119000609,NA,NA,NA," ","              ","       ","PUBLIX LLC                                        ","PUBLIX OWNER LLC                                  ","N","N","N","N","11 31 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Bargain And Sales Deed","Other"
"5247801665","PUBLIX LLC","510 5TH AVE S","SEATTLE","98104",26878000,"Report",18,22,2,7,3,2701570,"524780","1665",2014-11-17,0,20141119000606,NA,NA,NA," ","              ","       ","MIKAN TOO LLC                                     ","PUBLIX LLC                                        ","N","N","N","N","11 31 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Bargain And Sales Deed","Other"
"5247801745","UWAJIMAYA REAL PROPERTIES L","700 5TH AVE S","SEATTLE","98104",2500500,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801765","UWAJIMAYA REAL PROPERTIES L","6TH AVE S","SEATTLE","98104",5577400,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801775","CONCERNS NIKKEI","718 6TH AVE S","SEATTLE","98104",10999000,"Report",18,15,2,7,3,2779559,"524780","1775",2016-01-29,0,20160210000844,NA,NA,NA," ","              ","       ","EAST-WEST INVESTMENT CO INC                       ","EAST-WEST INVESTMENT CO INC                       ","N","N","N","N","11 18 31","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed","Other"
"5247801801","HO INVESTMENTS","624 S DEARBORN ST","SEATTLE","98104",9467200,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801830","GOLDEN PROPERTY SEATTLE LLC","609 S WELLER ST","SEATTLE","98104",5033800,"Report",1,3,2,7,58,2997061,"524780","1830",2019-06-11,6100000,20190701000453,NA,NA,NA," ","              ","       ","OCEAN CITY INVESTMENTS INC                        ","GOLDEN PROPERTY SEATTLE LLC                       ","N","N","N","N"," ","Retail Trade-Eating and Drinking","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"5247801831","GOLDEN PROPERTY SEATTLE","#Error","SEATTLE",NA,1641600,"Report",18,15,1,7,1,2789964,"524780","1831",2016-04-08,0,20160413001652,NA,NA,NA," ","              ","       ","OCEAN CITY INVESTMENTS INC                        ","OCR II LTD                                        ","N","N","N","N","11 18 31","Land Only","Commercial","C/I land only","Quit Claim Deed","Other"
"5247801831","GOLDEN PROPERTY SEATTLE","#Error","SEATTLE",NA,1641600,"Report",18,3,1,7,1,2807211,"524780","1831",2016-06-27,1250000,20160705001365,NA,NA,NA," ","              ","       ","OCR II LTD                                        ","GOBAL VILLAGE LLC                                 ","N","N","N","N","11 52","Land Only","Commercial","C/I land only","Statutory Warranty Deed","Other"
"5247801831","GOLDEN PROPERTY SEATTLE","#Error","SEATTLE",NA,1641600,"Report",1,3,1,7,11,2965266,"524780","1831",2018-12-05,1250000,20181207000718,NA,NA,NA," ","              ","       ","GLOBAL VILLAGE DEVELOPMENT LLC                    ","OCEAN CITY INVESTMENT INC                         ","N","N","N","N","51","Household, Single Family Units","Commercial","C/I land only","Statutory Warranty Deed","None"
"5247801835","IMPERIAL RICHFIELD CO INC","612 6TH AVE S","SEATTLE","98104",3457000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801850","IMPERIAL RICHFIELD CO INC","6TH AVE S","SEATTLE","98104",2592000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801855","LIU KWOK-LEUNG","#Error","SEATTLE",NA,5184000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801865","GHC HOUSING PARTNERS LLC","607 MAYNARD AVE S","SEATTLE","98104",15837500,"Report",1,4,2,7,3,2874667,"524780","1865",2017-06-29,21465350,20170630002287,NA,NA,NA," ","              ","       ","INTERNATIONAL HOUSE AFFILIATES LLC                ","INTERNATIONAL HOUSE APARTMENTS LLC                ","N","N","Y","N","54 59","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Special Warranty Deed","None"
"5247801875","SIXTH & KING ASSOCIATES","601 S KING ST","SEATTLE","98104",3651100,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801881","6TH & WELLER ASSOC LLC","514 6TH AVE S","SEATTLE","98104",4105000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801900","SOO YUEN INC","525 MAYNARD AVE S","SEATTLE","98104",3437700,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801905","CHOW FAMILY CO L L C","S WELLER ST","SEATTLE","98104",487300,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801910","CHOW FAMILY CO L L C","515 MAYNARD AVE S","SEATTLE","98104",5565600,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801915","KOH CHRISTOPHER","507 MAYNARD AVE S","SEATTLE","98104",6117600,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801920","KOH CHRISTOPHER","621 S KING ST","SEATTLE","98104",7432800,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801925","OWN REAL PROPERTY","601 S JACKSON ST","SEATTLE","98104",3899800,"Report",19,15,2,7,3,2776946,"524780","1925",2015-12-15,0,20160121001273,NA,NA,NA," ","              ","       ","WASHINGTON FEDERAL INC                            ","SEATTLE CITY OF                                   ","N","N","N","N","18 31 52","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Quit Claim Deed",NA
"5247801935","SEATTLE CITY OF DPR","#Error","SEATTLE",NA,NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801945","SEATTLE CITY OF DPR","411 MAYNARD AVE S","SEATTLE","98104",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801965","PANAMA HOTEL","605 S MAIN ST","SEATTLE","98104",10557100,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801970",NA,"#Error","SEATTLE",NA,NA,"Report",18,22,2,7,3,2556864,"524780","1970",2012-06-30,0,20120801001569,NA,NA,NA," ","              ","       ","INTERIM/NP COMMUNITY HOUSING LP                   ","INTERIM NP LLC                                    ","N","N","N","N","11 31 52","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Bargain And Sales Deed","Other"
"5247801970",NA,"#Error","SEATTLE",NA,NA,"Report",1,4,2,7,3,3153632,"524780","1970",2021-10-20,295170,20211021001939,NA,NA,NA," ","              ","       ","INTERIM NP LLC                                    ","S-QOZB LLC                                        ","N","N","N","Y","42","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Special Warranty Deed","None"
"5247801970",NA,"#Error","SEATTLE",NA,NA,"Report",18,22,3,7,2,3221025,"524780","1970",2022-12-15,0,20221216000443,NA,NA,NA," ","              ","       ","INTERIM NP LLC                                    ","NP & EASTERN LLLP                                 ","N","N","N","N"," ","Land With New Building","Commercial","C/I - Condominium","Bargain And Sales Deed","Other"
"5247801975","PACIFIC CORPORATE INV CO","600 S JACKSON ST","SEATTLE","98104",3984000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801985","CAI SUNLIGHT PROPERTIES LLC","614 S JACKSON ST","SEATTLE","98104",4013400,"Report",1,3,2,7,3,2365810,"524780","1985",2008-09-30,3098500,20081001000914,NA,NA,NA," ","              ","       ","ENG WAI C+SANDRA                                  ","HON JOE LLC                                       ","N","N","N","N"," ","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"5247801985","CAI SUNLIGHT PROPERTIES LLC","614 S JACKSON ST","SEATTLE","98104",4013400,"Report",1,2,2,7,13,3139584,"524780","1985",2021-07-15,4972000,20210817001811,NA,NA,NA," ","              ","       ","HON JOE LLC                                       ","CAI SUNLIGHT PROPERTIES LLC                       ","N","N","N","N"," ","Multiple Family Residence (Residential, 5+ Units)","Commercial","C/I Improved property, no condo or mobile home","Warranty Deed","None"
"5247801990","CRE 315 MAYNARD LLC&CRE INT","315 MAYNARD AVE S","SEATTLE","98104",10894000,"Report",1,3,2,7,13,2945328,"524780","1990",2018-07-30,7588000,20180801001046,NA,NA,NA," ","              ","       ","INTERNATIONAL APARTMENTS LLC                      ","CRE 315 MAYNARD LLC                               ","N","N","N","N","22","Multiple Family Residence (Residential, 5+ Units)","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","None"
"5247802000","MAIN +MAYNARD LLC+FIFE MOTE","307 MAYNARD AVE S","SEATTLE","98104",5184000,"Report",1,3,1,7,1,2898818,"524780","2000",2017-11-01,5750000,NA,NA,NA,NA," ","              ","       ","DERMODY GROUP LLC                                 ","MAIN +MAYNARD LLC+FIFE MOTEL INC.                 ","N","N","N","N"," ","Land Only","Commercial","C/I land only","Statutory Warranty Deed","None"
"5247802005","SEA WASHINGTON 2010 LLC","601 S WASHINGTON ST","SEATTLE","98104",27337000,"Report",1,4,2,11,3,2330543,"524780","2005",2008-01-28,15988500,20080130001207,NA,NA,NA," ","              ","       ","METROPOLITAN PARK APARTMENTS LIMITED PARTNERSHIP  ","METROPOLITAN ASSOCIATES LLC                       ","N","N","N","N"," ","Land With Prev Used Bldg","Commercial/Industrial","C/I Improved property, no condo or mobile home","Special Warranty Deed","None"
